year,GW_st,withdrawal,corn,others,rainfed
2012,18.839140164290246,4153.905508110031,0.6726190476190477,0.3273809523809524,0.4375
2013,18.213095939073565,2417.8088509568283,0.5208333333333334,0.4791666666666667,0.46130952380952384
2014,18.27023717569427,2477.0123384412095,0.5476190476190477,0.4523809523809524,0.4107142857142857
2015,18.070931805082477,2044.232993331597,0.5,0.5,0.41964285714285715
2016,18.196435807500873,2299.20138857863,0.6279761904761905,0.37202380952380953,0.4226190476190476
2017,17.899176563445785,1775.1605018303533,0.6547619047619048,0.34523809523809523,0.44345238095238093
2018,17.860518036087928,1972.2628084268863,0.6428571428571429,0.35714285714285715,0.38095238095238093
2019,17.69558902176334,1310.6749564918098,0.6994047619047619,0.3005952380952381,0.43452380952380953
2020,18.184085744360633,2777.2931279568365,0.7202380952380952,0.27976190476190477,0.3958333333333333
2021,17.769174917368478,2256.1393065028915,0.6755952380952381,0.3244047619047619,
2022,17.557699506482376,3432.452815300825,0.7023809523809523,0.2976190476190476,
